,artist,number,title,year
0,Johnny Horton,1,The Battle of New Orleans,1959
1,Bobby Darin,2,Mack the Knife,1959
2,Lloyd Price,3,Personality,1959
3,Frankie Avalon,4,Venus,1959
4,Paul Anka,5,Lonely Boy,1959
5,Bobby Darin,6,Dream Lover,1959
6,The Browns,7,The Three Bells,1959
7,The Fleetwoods,8,Come Softly to Me,1959
8,Wilbert Harrison,9,Kansas City,1959
9,The Fleetwoods,10,Mr. Blue,1959
10,Santo & Johnny,11,Sleep Walk,1959
11,Paul Anka,12,Put Your Head on My Shoulder,1959
12,Lloyd Price,13,Stagger Lee,1959
13,Ritchie Valens,14,Donna,1959
14,Dodie Stevens,15,Pink Shoe Laces,1959
15,The Platters,16,Smoke Gets in Your Eyes,1959
16,The Coasters,17,Charlie Brown,1959
17,Martin Denny,18,Quiet Village,1959
18,"Carl Dobkins, Jr.",19,My Heart is an Open Book,1959
19,The Everly Brothers,20,(Till) I Kissed You,1959
20,Phil Phillips,21,Sea of Love,1959
21,"Dave ""Baby"" Cortez",22,The Happy Organ,1959
22,Lloyd Price,23,I'm Gonna Get Married,1959
23,The Impalas,24,Sorry (I Ran All the Way Home),1959
24,Dion and the Belmonts,25,A Teenager in Love,1959
25,The Crests,26,16 Candles,1959
26,Brook Benton,27,It's Just a Matter of Time,1959
27,Connie Francis,28,Lipstick on Your Collar,1959
28,The Drifters,29,There Goes My Baby,1959
29,Elvis Presley,30,A Big Hunk o' Love,1959
30,Johnny and the Hurricanes,31,Red River Rock,1959
31,Stonewall Jackson,32,Waterloo,1959
32,Sammy Turner,33,Lavender Blue,1959
33,Elvis Presley,34,(Now and Then There's) A Fool Such as I,1959
34,The Virtues,35,Guitar Boogie Shuffle,1959
35,Sandy Nelson,36,Teen Beat,1959
36,Edd Byrnes & Connie Stevens,37,"Kookie, Kookie (Lend Me Your Comb)",1959
37,Thomas Wayne,38,Tragedy,1959
38,Connie Francis,39,My Happiness,1959
39,Freddy Cannon,40,Tallahassee Lassie,1959
40,Fabian,41,Tiger,1959
41,Ricky Nelson,42,Never Be Anyone Else But You,1959
42,Della Reese,43,Don't You Know?,1959
43,Elvis Presley,44,I Need Your Love Tonight,1959
44,Dinah Washington,45,What a Diff'rence a Day Makes,1959
45,Bill Parsons,46,The All American Boy,1959
46,Jerry Wallace,47,Primrose Lane,1959
47,The Chipmunks,48,Alvin's Harmonica,1959
48,Andy Williams,49,Lonely Street,1959
