5680	1959	91
3661	1959	3
4038	1959	21
134	1959	25
4889	1959	29
4672	1959	1
2229	1959	44
4036	1959	89
2937	1959	56
4671	1959	97
2236	1959	73
122	1959	72
2936	1959	49
3663	1959	66
2930	1959	5
5100	1959	55
3684	1959	15
4667	1959	46
5357	1959	50
814	1959	17
103	1959	82
101	1959	30
2882	1959	28
1527	1959	61
2298	1959	68
3717	1959	54
1522	1959	58
595	1959	70
1247	1959	14
4657	1959	90
2367	1959	23
1241	1959	43
884	1959	8
4604	1959	40
4367	1959	13
5267	1959	32
4200	1959	65
3313	1959	19
4728	1959	22
4218	1959	11
1851	1959	88
3265	1959	10
3348	1959	93
254	1959	80
4245	1959	16
3246	1959	94
1822	1959	57
260	1959	48
3370	1959	42
4975	1959	41
4263	1959	69
1767	1959	35
4075	1959	100
3568	1959	52
5350	1959	45
2105	1959	63
4691	1959	67
3086	1959	2
601	1959	98
4331	1959	24
4697	1959	71
1720	1959	79
1722	1959	85
5063	1959	38
1740	1959	53
4958	1959	81
3129	1959	86
3751	1959	47
3664	1959	75
3307	1959	39
25	1959	34
4548	1959	83
2420	1959	62
4839	1959	77
4603	1959	76
57	1959	26
2547	1959	84
2677	1959	9
4836	1959	7
389	1959	95
2668	1959	78
2561	1959	27
673	1959	51
3782	1959	18
2642	1959	59
4620	1959	60
1341	1959	87
2731	1959	37
5196	1959	4
2720	1959	92
3823	1959	31
2491	1959	99
35	1959	20
1272	1959	6
3777	1959	12
2562	1959	74
1336	1959	64
4614	1959	36
4592	1959	96
2772	1959	33
5431	1960	21
4269	1960	70
1715	1960	31
3967	1960	4
5399	1960	91
944	1960	45
1153	1960	95
5485	1960	12
4847	1960	56
1680	1960	33
486	1960	37
3038	1960	48
3571	1960	20
470	1960	90
5353	1960	14
5447	1960	57
3115	1960	68
536	1960	32
5541	1960	80
3475	1960	88
4613	1960	5
3315	1960	77
4207	1960	28
3325	1960	94
4213	1960	22
1851	1960	93
5238	1960	25
248	1960	16
3279	1960	44
1081	1960	59
3268	1960	42
1320	1960	15
2581	1960	66
1831	1960	52
5697	1960	85
1830	1960	2
5270	1960	40
1377	1960	11
3222	1960	97
1795	1960	50
2590	1960	19
1794	1960	84
3207	1960	64
3402	1960	34
1782	1960	8
4624	1960	67
1754	1960	13
4844	1960	10
5061	1960	81
284	1960	73
3622	1960	41
2385	1960	6
1582	1960	78
2928	1960	38
5244	1960	72
2572	1960	7
4786	1960	58
3703	1960	47
5623	1960	46
2746	1960	82
4878	1960	1
4877	1960	53
5206	1960	54
4449	1960	9
802	1960	29
794	1960	3
2887	1960	96
3713	1960	87
2292	1960	43
1464	1960	49
1499	1960	69
1275	1960	86
4002	1960	26
3771	1960	23
365	1960	27
5468	1960	24
3311	1960	17
4648	1960	71
2804	1960	30
3744	1960	39
2828	1960	51
3991	1960	100
1515	1960	61
2846	1960	92
1258	1960	60
4540	1960	18
